holding_period,top_pct,avg_spread,top_avg_return,bottom_avg_return,win_rate,num_dates,sample_size,top_avg_flow_score,bottom_avg_flow_score,flow_separation
1,10.0,0.06128763446022926,0.3961132945285805,0.33482566006835135,55.55555555555556,27,970,10027245.794191955,-5063998.692079214,15091244.486271169
2,10.0,-0.15321564575063815,0.22834123032522113,0.3815568760758594,62.96296296296296,27,970,10027245.794191955,-5063998.692079214,15091244.486271169
3,10.0,0.0980207423922719,0.15032768584454761,0.052306943452275684,62.96296296296296,27,970,10027245.794191955,-5063998.692079214,15091244.486271169
4,10.0,0.30698381004113195,0.06584072543737164,-0.24114308460376013,62.96296296296296,27,970,10027245.794191955,-5063998.692079214,15091244.486271169
5,10.0,0.40404748512522715,-0.14422564503897928,-0.5482731301642064,62.96296296296296,27,970,10027245.794191955,-5063998.692079214,15091244.486271169
6,10.0,0.5615418286953494,-0.10092033985498249,-0.662462168550332,62.96296296296296,27,970,10027245.794191955,-5063998.692079214,15091244.486271169
7,10.0,1.3294417143037023,0.11572415100251233,-1.2137175633011894,51.85185185185185,27,970,10027245.794191955,-5063998.692079214,15091244.486271169
8,10.0,0.7961162630508677,-0.5504112681465463,-1.3465275311974148,48.148148148148145,27,970,10027245.794191955,-5063998.692079214,15091244.486271169
9,10.0,0.6224204418748384,-0.5342905604389095,-1.156711002313748,55.55555555555556,27,970,10027245.794191955,-5063998.692079214,15091244.486271169
10,10.0,-0.02418497445760348,-1.2760615093740346,-1.2518765349164314,50.0,24,857,11114175.665192867,-4204622.4518327685,15318798.117025636
