BID_WEIGHT,DTE_LAMBDA,PRICE_CAP_ADJUSTMENT,SECONDARY_CLASS_WEIGHT,MIN_SECONDARY_THRESHOLD,score,train_ic,test_ic,ic_tstat,train_hit_rate,test_hit_rate,test_spread,trial_number,score_ic_component,score_tstat_component,score_hitrate_component,score_penalty_component
0.5903593030755074,0.13073678563762764,True,0.3231633239806877,0.1795492620692301,9.377716687438246,0.029457687568569996,0.0920985648686952,0.6138473139662187,51.71428571428571,51.60975609756097,3.214913749218463,0,6.907392365152141,0.2988957508575351,0.17142857142857082,-2.0
0.5879482341627238,0.1327934991779462,True,0.23779348707347836,0.22765545749460414,9.413206097395163,0.030025515031745404,0.09234689559774728,0.6266216695583828,51.89285714285713,51.60975609756097,3.214913749218463,1,6.926017169831045,0.29790321327840336,0.18928571428571317,-2.0
0.7031994761120124,0.06354139474705019,True,0.34357981723164355,0.17004183996054748,8.488012131898163,0.03337591509502232,0.08049409232976025,0.6735309813439947,52.107142857142854,49.609756097560975,2.8714982044567097,2,6.037056924732019,0.2402409214518596,0.2107142857142854,-2.0
0.562675084873554,0.12244331101777545,True,0.3043397626975092,0.20374552330142565,9.573630864888436,0.02662889898844719,0.09413327326786858,0.5683863015282542,52.07142857142857,51.60975609756097,3.214913749218462,3,7.059995495090144,0.3064925126554352,0.20714285714285696,-2.0
0.8284009249475567,0.14266061829586407,True,0.3310360211872182,0.18385226115491582,5.955702249075184,0.04161971256055288,0.07368282577837235,0.7784604963596915,52.10714285714287,51.51219512195122,2.9616618678815256,4,5.526211933377926,0.21877602998297055,0.21071428571428685,0.0
0.5452157780908449,0.08316237052001518,True,0.24525806896061098,0.2169815185646914,9.705912669849866,0.02257595338165515,0.0960309755316981,0.4780282667531962,51.89285714285713,49.90243902439024,3.0988443618203205,5,7.202323164877358,0.314303790686793,0.18928571428571317,-2.0
0.8069986013550399,0.11467858737901117,True,0.24078845159737486,0.2061897522420759,6.44066763277022,0.04233853958225905,0.07986697489461758,0.7979267051440766,52.17857142857143,51.26829268292683,3.2371351309218666,6,5.990023117096318,0.2327873728167576,0.21785714285714308,0.0
0.601930530199614,0.07912228101136434,True,0.26963203372402533,0.20468145608663552,9.356142919372889,0.025904034353761467,0.09225496873439884,0.5388115331044698,51.357142857142854,49.90243902439024,3.0852750056649305,7,6.919122655079913,0.30130597857869257,0.13571428571428543,-2.0
0.7567136086982912,0.1366451656195658,True,0.35557934329441343,0.22082318754969937,6.055441613956649,0.04367493047562781,0.07480902980548262,0.8277261821618254,52.17857142857143,51.31707317073172,3.2645077373761366,8,5.610677235411197,0.22690723568830853,0.21785714285714308,0.0
0.8488770447122718,0.13685998828448342,True,0.3143783982394939,0.17502190490631309,5.874102814903138,0.041582792734705706,0.07276846011649128,0.7737088133055627,52.0,51.46341463414634,3.2371351309218666,9,5.457634508736846,0.21646830616629167,0.2,0.0
0.5065182117748354,0.09447946276654592,True,0.3893850342591901,0.2431720667463045,9.442714949690298,0.01853707475580984,0.09302689051919785,0.4336323826157007,51.67857142857143,50.048780487804876,3.0212856512075064,10,6.977016788939839,0.2978410178933171,0.16785714285714307,-2.0
0.5616038064856518,0.10428928282179797,True,0.20919377875911335,0.15104924625740918,9.616626745913432,0.02377050928150323,0.09490778267995692,0.4992629894205998,51.89285714285713,50.14634146341463,3.214913749218462,11,7.118083700996769,0.30925733063095046,0.18928571428571317,-2.0
0.6631513912666128,0.09975547581569862,True,0.2010796906279274,0.1515409746511532,6.824537797137417,0.03550026217527506,0.08513535552972049,0.707446205681562,51.75,50.34146341463415,3.136093287710053,12,6.385151664729036,0.26438613240838116,0.17500000000000002,0.0
0.5209736749308268,0.08218030318706328,True,0.20035479806941078,0.15620234911250425,9.659392872089235,0.022695998859383455,0.0955080836081524,0.5252149823146439,51.857142857142854,49.80487804878048,3.0988443618203205,13,7.163106270611429,0.3105723157635195,0.18571428571428542,-2.0
0.5074962455209535,0.050959483379378716,True,0.27299465765512193,0.22262995847688455,11.894001447005977,0.019007735200353294,0.09849637831038124,0.44747528021006355,51.67857142857143,48.390243902439025,2.657614648177821,14,7.387228373278594,0.33891593087024147,0.16785714285714307,-4.0
0.6583389936483128,0.053694873327783145,True,0.2729611600924546,0.22438064780469874,9.155603632772582,0.029532067492816328,0.08966605158016641,0.6376458004767471,51.46428571428572,49.12195121951219,2.704984909567675,15,6.724953868512481,0.2842211928315289,0.14642857142857224,-2.0
0.5006009949771377,0.06983643719274202,True,0.2827394726652016,0.24681264951009116,12.086883900473042,0.02059421379812537,0.1007570272820341,0.49024591811891105,51.857142857142854,49.12195121951219,3.070501259193324,16,7.556777046152558,0.3443925686061985,0.18571428571428542,-4.0
0.6279428422297568,0.05070319781325036,True,0.28537846974734726,0.24281601108299306,9.33962789223484,0.029370399133746783,0.09222466069323883,0.6402264903879704,51.25,48.4390243902439,2.704984909567675,17,6.916849551992912,0.297778340241927,0.125,-2.0
0.5057131115973804,0.0667994082325262,True,0.28894835149489756,0.23511958929241933,12.073972668150867,0.019525798440426907,0.10082772529054851,0.45839226738806416,51.67857142857143,48.8780487804878,3.070501259193324,18,7.5620793967911375,0.3440361285025855,0.16785714285714307,-4.0
0.7194932235711966,0.06560589060012503,True,0.3646553723415329,0.24809284850804594,8.424931762237104,0.03550081441370885,0.07969729800901737,0.7058554172071949,52.107142857142854,49.609756097560975,3.14697146749705,19,5.977297350676302,0.2369201258465165,0.2107142857142854,-2.0
